StockCode,Description,Quantity,Revenue
21121,SET/10 RED POLKADOT PARTY CANDLES,15676,18736.83
21121,SET/10 RED SPOTTY PARTY CANDLES,15676,18736.83
22457,NATURAL SLATE HEART CHALKBOARD ,15646,48346.25000000001
22326,"ROUND SNACK BOXES ,SET4, WOODLAND ",15632,44875.58
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,15632,44875.58
22551,PLASTERS IN TIN SPACEBOY,15492,26049.949999999997
21967,PACK OF 12 SKULL TISSUES,15410,4484.509999999999
21967,MIA,15410,4484.509999999999
22865,HAND WARMER OWL DESIGN,15375,33212.46000000001
22560,TRADITIONAL MODELLING CLAY,15051,18121.850000000002
21499,BLUE POLKADOT WRAP,14968,6125.34
21499,BLUE SPOTS  WRAP,14968,6125.34
22969,HOMEMADE JAM SCENTED CANDLES,14947,22273.449999999997
21210,SET OF 72 RETROSPOT PAPER  DOILIES,14909,21742.309999999998
21210,SET OF 72 RETRO SPOT PAPER  DOILIES,14909,21742.309999999998
21976,PACK OF 60 MUSHROOM CAKE CASES,14763,7915.780000000001
82494L,MISSING,14689,43471.05
82494L,crushed ctn,14689,43471.05
82494L,WOODEN FRAME ANTIQUE WHITE ,14689,43471.05
82494L,cracked,14689,43471.05
21787,RAIN PONCHO WITH RED SPOTS,14667,11573.16
21787,RAIN PONCHO RETROSPOT,14667,11573.16
21703,BAG 125g SWIRLY MARBLES,14626,5670.49
22045,SPACEBOY GIFT WRAP,14562,5990.04
22045,SPACE BOY GIFT WRAP,14562,5990.04
21918,SET 12 KIDS COLOUR  CHALK STICKS,14371,6066.18
84826,ASSTD DESIGN 3D PAPER STICKERS,14225,827.43
23199,JUMBO BAG APPLES,14197,29166.4
22558,non colour fast,14118,20032.36
22558,CLOTHES PEGS RETROSPOT PACK 24 ,14118,20032.36
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,13893,38689.91
22328,"ROUND SNACK BOXES ,SET 4, FRUITS ",13893,38689.91
22577,check,13764,7199.969999999999
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,13764,7199.969999999999
22577,WOODEN HEART CHRISTMAS SCANDISPOT,13764,7199.969999999999
40016,CHINESE DRAGON PAPER LANTERNS,13734,5604.14
40016,damaged stock,13734,5604.14
40016,?,13734,5604.14
21085,SET/6 WOODLAND PAPER CUPS,13713,1873.3300000000002
22297,HEART IVORY TRELLIS SMALL,13706,17720.35
21091,SET/6 WOODLAND PAPER PLATES,13688,1868.7
22556,PLASTERS IN TIN CIRCUS PARADE ,13678,22497.78
21930,JUMBO STORAGE BAG SKULLS,13651,27912.08
22554,PLASTERS IN TIN WOODLAND ANIMALS,13629,23086.21
22866,HAND WARMER SCOTTY DOG DESIGN,13581,30167.040000000005
21986,PACK OF 12 PINK SPOT TISSUES ,13512,4801.61
21986,PACK OF 12 PINK POLKADOT TISSUES,13512,4801.61
22083,PAPER CHAIN KIT RETROSPOT,13479,39978.51
22083,PAPER CHAIN KIT RETRO SPOT,13479,39978.51
20718,RED SPOTTY SHOPPER BAG,13431,17668.26
20718,RED RETROSPOT SHOPPER BAG,13431,17668.26
22867,HAND WARMER BIRD DESIGN,13275,29368.820000000003
23209,mailout,13249,21384.37
23209,LUNCH BAG VINTAGE DOILY ,13249,21384.37
23209,LUNCH BAG VINTAGE DOILEY ,13249,21384.37
23209,LUNCH BAG DOILEY PATTERN ,13249,21384.37
21099,SET/6 STRAWBERRY PAPER CUPS,13202,1502.3400000000001
84347,21494,13148,73814.72
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,13148,73814.72
21914,BLUE HARMONICA IN BOX ,13110,18018.1
82580,BATHROOM METAL SIGN,13105,7428.870000000001
75049L,LARGE CIRCULAR MIRROR MOBILE,13093,12377.56
21889,WOODEN BOX OF DOMINOES,13077,17442.57
16161P,WRAP ENGLISH ROSE ,13053,5466.9
20974,12 PENCILS SMALL TUBE SKULL,12947,8497.44
21877,HOME SWEET HOME MUG,12911,14949.2
21877,damages,12911,14949.2
22534,MAGIC DRAWING SLATE SPACEBOY ,12893,5566.78
22534,MAGIC SLATE SPACEBOY ,12893,5566.78
22699,ROSES REGENCY TEACUP AND SAUCER ,12842,37818.99
22699,TEACUP AND SAUCER REGENCY ROSES,12842,37818.99
21092,phil said so,12802,1551.1
21092,SET/6 STRAWBERRY PAPER PLATES,12802,1551.1
23201,JUMBO BAG ALPHABET,12785,26814.15
22610,PENS ASSORTED FUNNY FACE,12721,5122.679999999999
22740,POLKADOT PENS,12669,11711.49
22740,?,12669,11711.49
22740,POLKADOT PEN,12669,11711.49
22740,POLKA DOT PEN,12669,11711.49
22740,adjustment,12669,11711.49
21122,SET/10 PINK SPOTTY PARTY CANDLES,12668,15363.81
21122,SET/10 PINK POLKADOT PARTY CANDLES,12668,15363.81
21829,DINOSAUR KEYRINGS ASSORTED,12663,3237.23
21829,sold as 1,12663,3237.23
21829,adjustment,12663,3237.23
21829,?missing,12663,3237.23
22595,check,12656,10770.34
22595,CHRISTMAS GINGHAM HEART,12656,10770.34
22595,GINGHAM HEART DECORATION,12656,10770.34
22993,SET OF 4 PANTRY JELLY MOULDS,12604,16422.23
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,12553,39372.66
71477,COLOURED GLASS STAR T-LIGHT HOLDER,12553,39372.66
71477,"Wet, rusty-thrown away",12553,39372.66
71477,short,12553,39372.66
22188,BLACK HEART CARD HOLDER,12544,33181.25
85175,check,12539,6558.72
85175,dotcom sold sets,12539,6558.72
85175,Amazon sold sets,12539,6558.72
85175,? sold as sets?,12539,6558.72
85175,wrongly sold sets,12539,6558.72
85175,CACTI T-LIGHT CANDLES,12539,6558.72
22418,"PEN, 10 COLOURS - SPACEBOY",12506,10599.92
22418,10 COLOUR SPACEBOY PEN,12506,10599.92
21495,SKULLS WRAP,12490,5129.8
21495,SKULLS AND CROSSBONES WRAP,12490,5129.8
20711,JUMBO BAG TOYS ,12489,26116.59
20711,check,12489,26116.59
20711,lost in space,12489,26116.59
22348,TEA BAG PLATE RED SPOTTY ,12456,10630.13
22348,TEA BAG PLATE RED RETROSPOT,12456,10630.13
82600,historic computer difference?....se,12410,26129.06
82600,check,12410,26129.06
82600,NO SINGING METAL SIGN,12410,26129.06
82600,N0 SINGING METAL SIGN,12410,26129.06
82583,?,12363,28292.72
82583,amazon,12363,28292.72
82583,FBA,12363,28292.72
82583,HOT BATHS METAL SIGN,12363,28292.72
22998,TRAVEL CARD WALLET KEEP CALM,12313,5240.5599999999995
22114,HOT WATER BOTTLE TEA AND SYMPATHY,12312,62722.55
22030,??,12304,5283.5199999999995
22030,SWALLOWS GREETING CARD,12304,5283.5199999999995
16033,MINI HIGHLIGHTER PENS,12282,1486.9199999999998
22149,check,12252,25610.86
22149,FELTCRAFT 6 FLOWER FRIENDS,12252,25610.86
22149,damages,12252,25610.86
22578,WOODEN STAR CHRISTMAS SCANDISPOT,12210,6391.639999999999
22578,lost,12210,6391.639999999999
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,12210,6391.639999999999
22147,check,12191,17282.75
22147,FELTCRAFT BUTTERFLY HEARTS,12191,17282.75
17084R,ASSORTED INCENSE PACK,12137,2213.97
23206,LUNCH BAG APPLE DESIGN,12124,20814.829999999998
21891,TRADITIONAL WOODEN SKIPPING ROPE,12063,15634.83
23310,BUBBLEGUM RING ASSORTED,12050,4997.28
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,11975,6331.1900000000005
22555,PLASTERS IN TIN MR STRONG ,11865,19211.969999999998
22555,PLASTERS IN TIN STRONGMAN,11865,19211.969999999998
84949,SILVER HANGING T-LIGHT HOLDER,11761,18753.21
84029E,RED WOOLLY HOTTIE WHITE HEART.,11706,47409.68
84378,SET OF 3 HEART COOKIE CUTTERS,11679,15465.07
21314,?,11573,22973.850000000002
21314,SMALL GLASS HEART TRINKET POT,11573,22973.850000000002
35961,FOLKART ZINC HEART CHRISTMAS DEC,11562,9667.48
22112,CHOCOLATE HOT WATER BOTTLE,11401,60075.64
22561,WOODEN SCHOOL COLOURING SET,11357,19120.589999999997
84988,?,11340,12983.88
84988,SET OF 72 PINK HEART PAPER DOILIES,11340,12983.88
21506,"FANCY FONT BIRTHDAY CARD, ",11242,4682.18
22027,TEA PARTY BIRTHDAY CARD,11231,4789.99
22632,HAND WARMER RED POLKA DOT,11075,22311.27
22632,HAND WARMER RED RETROSPOT,11075,22311.27
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,11068,14448.51
82484,WOOD BLACK BOARD ANT WHITE FINISH,10999,62517.02
22951,60 CAKE CASES DOLLY GIRL DESIGN,10992,5793.45
22951,72 CAKE CASES DOLLY GIRL DESIGN,10992,5793.45
21390,FILIGRIS HEART WITH BUTTERFLY,10950,13569.22
21916,SET 12 RETRO WHITE CHALK STICKS,10929,4721.2699999999995
21385,IVORY HANGING DECORATION  HEART,10907,9503.849999999999
20993,JAZZ HEARTS MEMO PAD,10853,1334.1100000000001
16237,SLEEPING CAT ERASERS,10847,2318.55
22444,GROW YOUR OWN PLANT IN A CAN ,10840,14089.9
21871,SAVE THE PLANET MUG,10822,13062.47
23202,JUMBO BAG VINTAGE LEAF,10820,21410.350000000002
23202,mailout,10820,21410.350000000002
22666,RECIPE BOX PANTRY YELLOW DESIGN,10736,33833.5
22741,FUNKY DIVA PEN,10670,9205.34
21669,BLUE STRIPE CERAMIC DRAWER KNOB,10626,13944.85
22557,PLASTERS IN TIN VINTAGE PAISLEY ,10540,17702.26
20676,RED RETROSPOT BOWL,10530,13179.85
20676,RED SPOTTY BOWL,10530,13179.85
15056N,wedding co returns?,10515,57587.04
15056N,EDWARDIAN PARASOL NATURAL,10515,57587.04
23077,DOUGHNUT LIP GLOSS ,10355,13645.77
21668,RED STRIPE CERAMIC DRAWER KNOB,10329,13946.87
22467,wrong code?,10320,28473.55
22467,wrongly sold (22719) barcode,10320,28473.55
22467,22719,10320,28473.55
22467,GUMBALL COAT RACK,10320,28473.55
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,10309,14071.79
22139,11 PC CERAMIC TEA SET POLKADOT,10294,51140.310000000005
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,10294,51140.310000000005
22139,RETROSPOT TEA SET CERAMIC 11 PC ,10294,51140.310000000005
22139,amazon,10294,51140.310000000005
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,10230,40101.78
84997D,PINK 3 PIECE POLKADOT CUTLERY SET,10230,40101.78
84997D,CHILDRENS CUTLERY POLKADOT PINK,10230,40101.78
22530,MAGIC SLATE DOLLY GIRL ,10226,4324.68
22530,MAGIC DRAWING SLATE DOLLY GIRL ,10226,4324.68
84050,counted,10166,15335.369999999999
84050,PINK HEART SHAPE EGG FRYING PAN,10166,15335.369999999999
84050,check,10166,15335.369999999999
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,10160,13424.11
21136,sold as set on dotcom,10155,17409.52
21136,PAINTED METAL PEARS ASSORTED,10155,17409.52
48138,DOORMAT UNION FLAG,10126,67398.22
48138,DOOR MAT UNION FLAG,10126,67398.22
POST,POSTAGE,10108,112341.0
22536,MAGIC SLATE FIDO,10075,3927.85
22536,MAGIC DRAWING SLATE PURDEY,10075,3927.85
22536,MAGIC DRAWING SLATE FIDO,10075,3927.85
20973,12 PENCIL SMALL TUBE WOODLAND,10074,6924.620000000001
21124,SET/10 BLUE POLKADOT PARTY CANDLES,10044,12192.800000000001
23344,JUMBO BAG 50'S CHRISTMAS ,10044,23328.79
21124,SET/10 BLUE SPOTTY PARTY CANDLES,10044,12192.800000000001
22111,SCOTTIE DOG HOT WATER BOTTLE,10001,51255.66
16161U,WRAP SUKI AND FRIENDS,10001,4074.42
16161U,"WRAP,SUKI AND FRIENDS",10001,4074.42
22662,LUNCH BAG DOLLY GIRL DESIGN,10001,16308.91
22652,TRAVEL SEWING KIT,9998,17172.88
22652,check,9998,17172.88
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9946,19272.98
22296,HEART IVORY TRELLIS LARGE,9946,16443.66
22697,TEACUP AND SAUCER REGENCY GREEN,9925,31004.52
22697,GREEN REGENCY TEACUP AND SAUCER,9925,31004.52
20685,RED SPOTTY COIR DOORMAT,9889,67219.08
20685,DOORMAT RED SPOT,9889,67219.08
20685,DOORMAT RED RETROSPOT,9889,67219.08
20685,DOOR MAT RED SPOT,9889,67219.08
21908,CHOCOLATE THIS WAY METAL SIGN,9833,19466.910000000003
21174,POTTERING IN THE SHED METAL SIGN,9805,19856.52
21174,found,9805,19856.52
79000,damaged,9716,9828.57
79000,wet/smashed/unsellable,9716,9828.57
79000,MOROCCAN TEA GLASS,9716,9828.57
79000,Dotcom,9716,9828.57
22791,T-LIGHT GLASS FLUTED ANTIQUE,9686,12127.710000000001
62018,SOMBRERO ,9570,12456.7
15056BL,EDWARDIAN PARASOL BLACK,9523,47030.54
22727,ALARM CLOCK BAKELIKE RED ,9500,37613.86
22988,SOLDIERS EGG CUP ,9489,11620.94
21088,SET/6 FRUIT SALAD PAPER CUPS,9475,1244.21
22544,MINI JIGSAW SPACEBOY,9454,3788.7599999999998
22633,HAND WARMER UNION JACK,9447,19525.33
85220,SMALL FAIRY CAKE FRIDGE MAGNETS,9447,3229.35
21238,RED RETROSPOT CUP,9432,8133.34
21238,RED SPOTTY CUP,9432,8133.34
22381,TOY TIDY PINK RETROSPOT  ,9419,19912.02
22381,TOY TIDY PINK POLKADOT,9419,19912.02
21156,RED SPOTTY CHILDS APRON,9326,17360.61
21156,RETROSPOT CHILDRENS APRON,9326,17360.61
47591D,PINK FAIRY CAKE CHILD'S APRON,9307,17675.47
47591D,PINK FAIRY CAKE CHILDRENS APRON,9307,17675.47
22734,amazon sales,9303,26974.88
22734,amendment,9303,26974.88
22734,amazon adjustment,9303,26974.88
22734,amazon,9303,26974.88
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,9303,26974.88
22734,FOUND,9303,26974.88
22734,Carton qnty was 216 not 144 as stat,9303,26974.88
22759,SET OF 3 NOTEBOOKS IN PARCEL,9301,16162.839999999998
22759,found,9301,16162.839999999998
22759,check,9301,16162.839999999998
84997B,CHILDRENS CUTLERY RETROSPOT RED ,9279,34604.23
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,9279,34604.23
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,9279,34604.23
21671,?,9276,12237.07
21671,RED SPOT CERAMIC DRAWER KNOB,9276,12237.07
22219,LOVEBIRD HANGING DECORATION WHITE ,9261,9333.769999999999
22219,???lost,9261,9333.769999999999
22959,check,9251,3861.42
22959,WRAP CHRISTMAS VILLAGE,9251,3861.42
22959,"WRAPPING PAPER, XMAS VILLAGE",9251,3861.42
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,9205,13077.41
22158,3 HEARTS HANGING DECORATION RUSTIC,9200,30208.13
21165,BEWARE OF THE CAT METAL SIGN ,9170,15277.21
21165,check,9170,15277.21
21868,check,9072,11158.33
21868,POTTING SHED TEA MUG,9072,11158.33
21868,Amazon,9072,11158.33
22960,mailout addition,9057,38643.52
22960,JAM MAKING SET WITH JARS,9057,38643.52
21096,SET/6 FRUIT SALAD  PAPER PLATES,8916,1804.92
22333,RETROSPOT PARTY BAG + STICKER SET,8844,13926.17
22333,RETRO SPORT PARTY BAG + STICKER SET,8844,13926.17
22333,RETRO SPOT PARTY BAG + STICKER SET,8844,13926.17
15034,PAPER POCKET TRAVELING FAN ,8818,1318.15
22704,WRAP RED APPLES ,8803,3617.26
21509,COWBOYS AND INDIANS BIRTHDAY CARD ,8793,3626.95
21169,YOU'RE CONFUSING ME METAL SIGN ,8784,14371.85
21670,BLUE SPOT CERAMIC DRAWER KNOB,8779,12187.34
22065,CHRISTMAS PUDDING TRINKET POT ,8753,6448.219999999999
23301,GARDENERS KNEELING PAD KEEP CALM ,8711,16188.15
22621,TRADITIONAL KNITTING NANCY,8676,13749.359999999999
22621,?,8676,13749.359999999999
22295,HEART FILIGREE DOVE LARGE,8668,14327.649999999998
37340,MULTICOLOUR SPRING FLOWER MUG,8666,3430.96
37340,sold as set on dotcom,8666,3430.96
